,AC,coh,dis,sex,imm,mrt,p,pp,ex60,ex65
0,60,1926,0,99,99,99,99,99,23.361782339814123,19.137612424175487
1,60,1926,1,99,99,99,99,99,18.43513106020332,14.609205418281569
2,60,1930,0,99,99,99,99,99,24.014652284392415,19.749099132397646
3,60,1930,1,99,99,99,99,99,19.027926273418654,15.14450160297692
4,60,1935,0,99,99,99,99,99,24.685810382765087,20.37996853532791
5,60,1935,1,99,99,99,99,99,19.640968489194705,15.701245250722879
6,60,1940,0,99,99,99,99,99,24.856296094014496,20.540568381624016
7,60,1940,1,99,99,99,99,99,19.797249607358534,15.843659941986019
8,60,1945,0,99,99,99,99,99,25.135148188243175,20.80354509029859
9,60,1945,1,99,99,99,99,99,20.053336791402348,16.077434252736722
10,60,1950,0,99,99,99,99,99,25.416945003048014,21.069662212279802
11,60,1950,1,99,99,99,99,99,20.31270462984915,16.314707842443806
12,61,1926,0,99,99,99,99,99,23.82365646467031,19.56998038518539
13,61,1926,1,99,99,99,99,99,18.854132571868078,14.987242794109088
14,61,1930,0,99,99,99,99,99,24.48078538977649,20.187016478681887
15,61,1930,1,99,99,99,99,99,19.453320310647754,15.530502710782947
16,61,1935,0,99,99,99,99,99,25.15605300962993,20.82327429369591
17,61,1935,1,99,99,99,99,99,20.07255804771251,16.095000914685752
18,61,1940,0,99,99,99,99,99,25.327541516598707,20.985194272674413
19,61,1940,1,99,99,99,99,99,20.230355259948634,16.239319313223106
20,61,1945,0,99,99,99,99,99,25.607999348006945,21.250289299033046
21,61,1945,1,99,99,99,99,99,20.488873725831418,16.476151907236385
22,61,1950,0,99,99,99,99,99,25.89137650593198,21.51849668414023
23,61,1950,1,99,99,99,99,99,20.75063884229178,16.71644782584294
24,62,1926,0,99,99,99,99,99,23.74058266617884,19.49213108980905
25,62,1926,1,99,99,99,99,99,18.77863571756175,14.91901084431334
26,62,1930,0,99,99,99,99,99,24.39695947307582,20.10818539670485
27,62,1930,1,99,99,99,99,99,19.376693118481686,15.46086077776178
28,62,1935,0,99,99,99,99,99,25.071501488060512,20.743490061408142
29,62,1935,1,99,99,99,99,99,19.994835523689762,16.02398604418134
30,62,1940,0,99,99,99,99,99,25.242812953124865,20.905176548868873
31,62,1940,1,99,99,99,99,99,20.15236472636856,16.167967400372202
32,62,1945,0,99,99,99,99,99,25.522987309608652,21.16989693051885
33,62,1945,1,99,99,99,99,99,20.410453422203535,16.404258549369303
34,62,1950,0,99,99,99,99,99,25.80608549401052,21.437734659118515
35,62,1950,1,99,99,99,99,99,20.67179480790875,16.644019402565313
36,63,1926,0,99,99,99,99,99,23.962224180637104,19.6999127077742
37,63,1926,1,99,99,99,99,99,18.98019009627609,15.101281083427763
38,63,1930,0,99,99,99,99,99,24.620594366082884,20.31857080498237
39,63,1930,1,99,99,99,99,99,19.58124467360517,15.646871502630304
