,AC,coh,sex,imm,mrt,p,pp,ex60,ex65
0,60,1926,99,99,99,99,99,23.16411166530334,18.92373560953823
1,60,1930,99,99,99,99,99,23.831923909224596,19.549223803396117
2,60,1935,99,99,99,99,99,24.561232052435138,20.234942475120384
3,60,1940,99,99,99,99,99,24.802196234912746,20.46207957785135
4,60,1945,99,99,99,99,99,25.161254213528238,20.801043393346905
5,60,1950,99,99,99,99,99,25.484343381833245,21.106558685165986
6,61,1926,99,99,99,99,99,23.63189735002187,19.361625823623065
7,61,1930,99,99,99,99,99,24.304092256889046,19.99286849858459
8,61,1935,99,99,99,99,99,25.03787064986963,20.68449700863545
9,61,1940,99,99,99,99,99,25.280243581227648,20.913505404684155
10,61,1945,99,99,99,99,99,25.64134082508544,21.255185879037334
11,61,1950,99,99,99,99,99,25.966205694473565,21.563074450119455
12,62,1926,99,99,99,99,99,23.671469866431746,19.398722910866752
13,62,1930,99,99,99,99,99,24.344026348990063,20.03044153637749
14,62,1935,99,99,99,99,99,25.078173457832882,20.72255873077437
15,62,1940,99,99,99,99,99,25.320662566995146,20.951721837513013
16,62,1945,99,99,99,99,99,25.68192796994793,21.293626889775606
17,62,1950,99,99,99,99,99,26.006939248540505,21.601711628624713
18,63,1926,99,99,99,99,99,23.852838128106864,19.56885054235671
19,63,1930,99,99,99,99,99,24.527033934317146,20.202729389221062
20,63,1935,99,99,99,99,99,25.262852571874824,20.897064370620225
21,63,1940,99,99,99,99,99,25.505868322247885,21.12692954544948
22,63,1945,99,99,99,99,99,25.867895968667895,21.469853671878496
23,63,1950,99,99,99,99,99,26.193570870279157,21.778828520587787
24,64,1926,99,99,99,99,99,23.57732075421337,19.31047676771695
25,64,1930,99,99,99,99,99,24.249014680396954,19.94106029588295
26,64,1935,99,99,99,99,99,24.982282177773552,20.632011994225465
27,64,1940,99,99,99,99,99,25.22449412744071,20.86080611425037
28,64,1945,99,99,99,99,99,25.58535835754447,21.202175539539844
29,64,1950,99,99,99,99,99,25.910020347352113,21.509792404587024
30,65,1926,99,99,99,99,99,24.19826199010999,19.893333636634246
31,65,1930,99,99,99,99,99,24.875500616365656,20.531232509942527
32,65,1935,99,99,99,99,99,25.614421112473064,21.229693612877806
33,65,1940,99,99,99,99,99,25.858413989807797,21.460864728486897
34,65,1945,99,99,99,99,99,26.22185575836442,21.805684260649805
35,65,1950,99,99,99,99,99,26.548761686731574,22.116314445548145
36,60,1926,0,99,99,99,99,25.41779503593946,21.01810539308224
37,60,1926,1,99,99,99,99,21.58532202052875,17.425719650762925
38,60,1930,0,99,99,99,99,25.987171368342068,21.558060360008458
39,60,1930,1,99,99,99,99,22.12567039780015,17.927229794327484
40,60,1935,0,99,99,99,99,26.589948087217717,22.13120305213474
41,60,1935,1,99,99,99,99,22.699371647437328,18.46164351598652
42,60,1940,0,99,99,99,99,26.780026466462942,22.312247113048706
43,60,1940,1,99,99,99,99,22.88061843642658,18.630878066274132
44,60,1945,0,99,99,99,99,27.063070979953075,22.582106205934128
45,60,1945,1,99,99,99,99,23.150800648457036,18.883498522911886
46,60,1950,0,99,99,99,99,27.351132008308984,22.85706980212555
47,60,1950,1,99,99,99,99,23.42611723872056,19.14133449709599
48,61,1926,0,99,99,99,99,26.041069347815043,21.609246349939376
49,61,1926,1,99,99,99,99,22.176900729190407,17.974871843618025
50,61,1930,0,99,99,99,99,26.61420752932275,22.1543013179658
51,61,1930,1,99,99,99,99,22.722495120155898,18.483223991064154
52,61,1935,0,99,99,99,99,27.220745748961644,22.732572185532447
53,61,1935,1,99,99,99,99,23.30145696343213,19.024538050392852
54,61,1940,0,99,99,99,99,27.411965356670137,22.91517797560615
55,61,1940,1,99,99,99,99,23.484302874040445,19.195878365617997
56,61,1945,0,99,99,99,99,27.69667083787084,23.187315037942863
57,61,1945,1,99,99,99,99,23.756815096046502,19.45157412924026
58,61,1950,0,99,99,99,99,27.986376278098362,23.464539841578922
59,61,1950,1,99,99,99,99,24.034441598907822,19.71246738937396
60,62,1926,0,99,99,99,99,26.019590077198227,21.58884636503425
61,62,1926,1,99,99,99,99,22.15648293436024,17.95588224122093
62,62,1930,0,99,99,99,99,26.592602388014235,22.13373018839376
63,62,1930,1,99,99,99,99,22.70190153197422,18.464004434672933
64,62,1935,0,99,99,99,99,27.199014774464253,22.711829007816203
65,62,1935,1,99,99,99,99,23.280687132732396,19.005086624741338
66,62,1940,0,99,99,99,99,27.390196209829018,22.894382411067895
67,62,1940,1,99,99,99,99,23.463479477052857,19.17635619072718
68,62,1945,0,99,99,99,99,27.67484613899157,23.166443068787327
69,62,1945,1,99,99,99,99,23.735913656977953,19.431948639475554
70,62,1950,0,99,99,99,99,27.96449658808116,23.443592040946516
71,62,1950,1,99,99,99,99,24.013462799281648,19.692739201102075
72,63,1926,0,99,99,99,99,26.16875451079206,21.730556124721833
73,63,1926,1,99,99,99,99,22.298320116658182,18.08785022441519
74,63,1930,0,99,99,99,99,26.742635531965412,22.276621839875045
75,63,1930,1,99,99,99,99,22.84495234928219,18.597560951994293
76,63,1935,0,99,99,99,99,27.349916333925265,22.85590873050304
77,63,1935,1,99,99,99,99,23.424954629175215,19.14024483928496
78,63,1940,0,99,99,99,99,27.54136120136574,23.03882387604708
79,63,1940,1,99,99,99,99,23.608116753244595,19.312003109256644
80,63,1945,0,99,99,99,99,27.826394493672655,23.311412111234844
81,63,1945,1,99,99,99,99,23.881089664535992,19.568309197560986
82,63,1950,0,99,99,99,99,28.11642442107504,23.58908468368701
83,63,1950,1,99,99,99,99,24.15917282154662,19.829809125101693
84,64,1926,0,99,99,99,99,25.905901213030397,21.480903044703695
85,64,1926,1,99,99,99,99,22.048448439943257,17.855446907873297
86,64,1930,0,99,99,99,99,26.47824289118342,22.024875608536618
87,64,1930,1,99,99,99,99,22.592930730314645,18.36234513292533
88,64,1935,0,99,99,99,99,27.083984814903104,22.60205830863132
89,64,1935,1,99,99,99,99,23.170777584864712,18.902193105455492
90,64,1940,0,99,99,99,99,27.274962854814913,22.784332753116686
91,64,1940,1,99,99,99,99,23.35328460162329,19.07308606811964
92,64,1945,0,99,99,99,99,27.559316777230475,23.055986547854722
93,64,1945,1,99,99,99,99,23.625303072294955,19.328128553569346
94,64,1950,0,99,99,99,99,27.848674198143037,23.332731694406835
95,64,1950,1,99,99,99,99,23.90244012573328,19.588372419780157
96,65,1926,0,99,99,99,99,26.84918874482615,22.37815818217905
97,65,1926,1,99,99,99,99,22.94660617508653,18.69253883790739
98,65,1930,0,99,99,99,99,27.426876708307756,22.929423485150625
99,65,1930,1,99,99,99,99,23.498567520130432,19.209252976480336
100,65,1935,0,99,99,99,99,28.037962117083453,23.513935413556176
101,65,1935,1,99,99,99,99,24.08391066920415,19.758996320130603
102,65,1940,0,99,99,99,99,28.230560834333733,23.698441053314728
103,65,1940,1,99,99,99,99,24.268695686943108,19.932908114335934
104,65,1945,0,99,99,99,99,28.51727292512531,23.973348431003732
105,65,1945,1,99,99,99,99,24.544032704102737,20.192358545974923
106,65,1950,0,99,99,99,99,28.808963995261163,24.2533218570653
107,65,1950,1,99,99,99,99,24.824458930961345,20.456983521747844
108,60,1926,0,0,0,99,99,24.01911712498717,19.690765179010928
109,60,1926,0,0,1,99,99,26.19237756565159,21.746335993334466
110,60,1926,0,0,2,99,99,24.353949591604653,20.00600691400873
111,60,1926,0,1,0,99,99,26.091253290761372,21.6502161500671
112,60,1926,0,1,1,99,99,28.312116913911044,23.770542741364547
113,60,1926,0,1,2,99,99,26.434110492903134,21.976279880055092
114,60,1926,1,0,0,99,99,19.89770109823815,15.863611584253638
115,60,1926,1,0,1,99,99,21.94022970916025,17.74704138940802
116,60,1926,1,0,2,99,99,20.210576416102764,16.150192247427654
117,60,1926,1,1,0,99,99,21.844607088562455,17.658242831699702
118,60,1926,1,1,1,99,99,23.95592400182891,19.631333068456293
119,60,1926,1,1,2,99,99,22.169022438797292,17.959736250524987
120,60,1930,0,0,0,99,99,24.505434680606953,20.14881209466039
121,60,1930,0,0,1,99,99,26.690768903134835,22.220685073600297
122,60,1930,0,0,2,99,99,24.84230079499383,20.46677563460505
123,60,1930,0,1,0,99,99,26.589138264390684,22.123874301396363
124,60,1930,0,1,1,99,99,28.820052307233436,24.258046615250727
