;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.dis_d;_t:1.dis_d;_t:_cons;/:gamma;;;;;;;;;;;;;;;;;;
b;1.092892;1.029023;1.040198;1.010678;1.050227;1;1.213443;1.114559;1.022114;1;.9649538;.9309005;1;1.962717;.0070384;.1126154;;;;;;;;;;;;;;;;;;
se;.0105176;.0127549;.0149679;.0158703;.016728;.;.015645;.0133354;.0123021;.;.0144076;.0217163;.;.0236637;.0000898;.0006328;;;;;;;;;;;;;;;;;;
z;9.230149;2.308159;2.738873;.6764095;3.076713;.;15.00513;9.064856;1.81733;.;-2.389355;-3.069365;.;55.93035;-388.294;177.9523;;;;;;;;;;;;;;;;;;
pvalue;2.70e-20;.0209903;.006165;.4987807;.002093;.;6.80e-51;1.25e-19;.0691667;.;.016878;.0021451;.;0;0;0;;;;;;;;;;;;;;;;;;
ll;1.072471;1.004325;1.011271;.9800466;1.017947;.;1.183164;1.088726;.9982847;.;.9371246;.8892957;.;1.916881;.0068645;.1113751;;;;;;;;;;;;;;;;;;
ul;1.113702;1.054328;1.069952;1.042267;1.08353;.;1.244497;1.141004;1.046512;.;.9936093;.9744516;.;2.00965;.0072167;.1138558;;;;;;;;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;330645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;81665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;3292.977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.dis_d;_t:1.dis_d;_t:0b.SEX;_t:1.SEX;_t:_cons;/:gamma;;;;;;;;;;;;;;;;
b;1.143737;1.055005;1.077806;1.050681;1.090197;1;1.162789;1.084246;1.011521;1;.9771896;.9487782;1;1.886636;1;1.673778;.0050193;.1151227;;;;;;;;;;;;;;;;
se;.011012;.013064;.0155107;.0164985;.0173659;.;.0149942;.0129755;.0121758;.;.0145922;.0221383;.;.0227245;.;.0123385;.0000692;.0006347;;;;;;;;;;;;;;;;
z;13.94888;4.324158;5.206591;3.148447;5.421381;.;11.69605;6.758788;.951686;.;-1.545223;-2.253426;.;52.70197;.;69.87379;-384.0311;181.3873;;;;;;;;;;;;;;;;
pvalue;3.20e-44;.0000153;1.92e-07;.0016414;5.91e-08;.;1.34e-31;1.39e-11;.3412563;.;.1222924;.0242323;.;0;.;0;0;0;;;;;;;;;;;;;;;;
ll;1.122356;1.029708;1.047831;1.018838;1.056686;.;1.133769;1.05911;.9879366;.;.9490038;.9063652;.;1.842618;.;1.649769;.0048855;.1138787;;;;;;;;;;;;;;;;
ul;1.165525;1.080923;1.10864;1.083521;1.12477;.;1.192551;1.109978;1.035669;.;1.006212;.9931759;.;1.931705;.;1.698137;.0051568;.1163666;;;;;;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;330645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;81665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;8368.379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.dis_d;_t:1.dis_d;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:_cons;/:gamma;;;;;;;;;;;
b;1.107455;1.034941;1.05774;1.036986;1.079189;1;1.153263;1.083997;1.015209;1;.9746002;.9431315;1;1.845746;1;1.767659;1;.7530185;1;.7477444;.9416074;.006266;.1158606;;;;;;;;;;;
se;.0107456;.0128605;.0152598;.01632;.0172185;.;.014881;.0129737;.0122211;.;.0145536;.0220077;.;.0222933;.;.0133552;.;.0101933;.;.0061257;.0261337;.0000926;.0006351;;;;;;;;;;;
z;10.5189;2.763801;3.891009;2.307727;4.77654;.;11.05093;6.738954;1.253911;.;-1.7229;-2.509116;.;50.74297;.;75.39827;.;-20.95554;.;-35.48404;-2.167835;-343.1364;182.4297;;;;;;;;;;;
pvalue;7.07e-26;.0057132;.0000998;.0210143;1.78e-06;.;2.17e-28;1.60e-11;.2098742;.;.0849067;.0121034;.;0;.;0;.;1.67e-97;.;8.7e-276;.0301713;0;0;;;;;;;;;;;
ll;1.086593;1.010039;1.028251;1.005488;1.045964;.;1.124462;1.058864;.9915366;.;.946489;.9009686;.;1.802565;.;1.741676;.;.7333028;.;.7358342;.8917544;.006087;.1146159;;;;;;;;;;;
ul;1.128717;1.060456;1.088076;1.069471;1.11347;.;1.182801;1.109725;1.039447;.;1.003546;.9872674;.;1.889961;.;1.794029;.;.7732643;.;.7598475;.9942473;.0064502;.1171054;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;330645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;81665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;10104.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.dis_d;_t:1.dis_d;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:1.p_lvl;_t:2.p_lvl;_t:3b.p_lvl;_t:4.p_lvl;_t:5.p_lvl;_t:_cons;/:gamma;;;;;;
b;1.115344;1.040113;1.063278;1.042528;1.089358;1;1.142571;1.080264;1.016474;1;.9746444;.941511;1;1.859657;1;1.957169;1;.7277815;1;.7550081;1.091971;1.292211;1.061376;1;.9275195;.8838312;.0056776;.1162374;;;;;;
se;.0108447;.0129493;.0153516;.0164127;.0173854;.;.0147568;.0129336;.012235;.;.014554;.0219701;.;.0225968;.;.0159617;.;.0098837;.;.0061684;.0308766;.0147932;.0117548;.;.0101113;.0100037;.0000952;.0006352;;;;;;
z;11.227;3.159034;4.249692;2.645498;5.36295;.;10.31951;6.448463;1.357513;.;-1.719897;-2.582796;.;51.05654;.;82.33688;.;-23.3976;.;-34.39766;3.111627;22.39299;5.378389;.;-6.901948;-10.91036;-308.4429;182.9877;;;;;;
pvalue;3.01e-29;.0015829;.0000214;.0081571;8.19e-08;.;5.75e-25;1.13e-10;.1746183;.;.0854511;.0098003;.;0;.;0;.;4.5e-121;.;2.7e-259;.0018606;4.6e-111;7.52e-08;.;5.13e-12;1.03e-27;0;0;;;;;;
ll;1.09429;1.01504;1.033612;1.010851;1.055811;.;1.114011;1.055209;.9927747;.;.9465324;.8994203;.;1.815891;.;1.926134;.;.7086652;.;.7430146;1.0331;1.26354;1.038585;.;.9079119;.8644403;.0054941;.1149924;;;;;;
ul;1.136803;1.065805;1.093797;1.075198;1.123972;.;1.171863;1.105913;1.04074;.;1.003591;.9855714;.;1.904477;.;1.988705;.;.7474133;.;.7671952;1.154196;1.321533;1.084667;.;.9475506;.9036572;.0058673;.1174824;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;330645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;81665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;11262.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.dis_d;_t:1.dis_d;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:1.p_lvl;_t:2.p_lvl;_t:3b.p_lvl;_t:4.p_lvl;_t:5.p_lvl;_t:0.pp_lvl;_t:1.pp_lvl;_t:2.pp_lvl;_t:3b.pp_lvl;_t:4.pp_lvl;_t:5.pp_lvl;_t:_cons;/:gamma
b;1.125327;1.042773;1.066493;1.03653;1.048721;1;1.173189;1.094715;1.017693;1;.967176;.8772361;1;1.778348;1;1.876737;1;.712177;1;.8087479;1.018762;1.042689;.9538378;1;1.013566;.9935462;1.577287;1.06118;1.022584;1;.9729324;.7471243;.0050878;.1180944
se;.0109431;.0129575;.0154012;.0163117;.0167445;.;.0151568;.0131147;.0122499;.;.0144447;.0205036;.;.0216286;.;.0154238;.;.0096726;.;.0066993;.0289158;.0126102;.0107571;.;.0112578;.0115973;.0191732;.0141972;.0135454;.;.0128156;.0103356;.000095;.0006365
z;12.142;3.370648;4.457839;2.279917;2.979411;.;12.36331;7.5537;1.457037;.;-2.234687;-5.603887;.;47.33412;.;76.60048;.;-24.99145;.;-25.62524;.6548906;3.456542;-4.190707;.;1.213174;-.5546878;37.48873;4.43849;1.685951;.;-2.083243;-21.07325;-282.866;185.5274
pvalue;6.33e-34;.0007499;8.28e-06;.0226126;.002888;.;4.13e-35;4.23e-14;.1451063;.;.0254379;2.10e-08;.;0;.;0;.;7.6e-138;.;8.0e-145;.5125382;.0005472;.0000278;.;.2250632;.5791082;1.4e-307;9.06e-06;.0918053;.;.0372291;1.40e-98;0;0
ll;1.104082;1.017684;1.03673;1.005048;1.01641;.;1.143855;1.06931;.9939646;.;.9392753;.8379564;.;1.736458;.;1.846749;.;.6934691;.;.7957236;.9636354;1.018264;.9329855;.;.9917396;.971074;1.540152;1.033715;.9963769;.;.9481358;.7271391;.004905;.1168468
ul;1.146981;1.068481;1.09711;1.068999;1.082058;.;1.203275;1.120723;1.041988;.;.9959055;.918357;.;1.821249;.;1.907212;.;.7313897;.;.8219855;1.077042;1.0677;.9751561;.;1.035873;1.016539;1.615317;1.089374;1.04948;.;.9983775;.7676588;.0052774;.119342
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;330645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;81665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;14919.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
