;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:_cons;/:gamma;;;;;;;;;;;;;;;;;;
b;1.146501;1.077483;1.071859;1.046495;1.085293;1;1.240706;1.135611;1.031933;1;.9544058;.9153145;.0065198;.1150843;;;;;;;;;;;;;;;;;;
se;.0119445;.0141625;.0160007;.0169527;.0179484;.;.0171635;.0146001;.0133645;.;.0153768;.0230333;.0000902;.0006725;;;;;;;;;;;;;;;;;;
z;13.12266;5.677696;4.6486;2.805441;4.949257;.;15.59102;9.891483;2.427139;.;-2.896479;-3.516382;-363.8872;171.1342;;;;;;;;;;;;;;;;;;
pvalue;2.44e-39;1.37e-08;3.34e-06;.0050248;7.45e-07;.;8.38e-55;4.53e-23;.0152184;.;.0037738;.0004375;0;0;;;;;;;;;;;;;;;;;;
ll;1.123327;1.05008;1.040952;1.013791;1.050679;.;1.207518;1.107353;1.006069;.;.9247388;.8712652;.0063454;.1137663;;;;;;;;;;;;;;;;;;
ul;1.170152;1.105602;1.103683;1.080255;1.121048;.;1.274806;1.164591;1.058462;.;.9850247;.9615908;.0066989;.1164024;;;;;;;;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;307055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;72235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;499.9524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.SEX;_t:1.SEX;_t:_cons;/:gamma;;;;;;;;;;;;;;;;
b;1.205047;1.110666;1.113782;1.092336;1.130433;1;1.19431;1.108537;1.024934;1;.9640714;.928924;1;1.675294;.0046234;.1175233;;;;;;;;;;;;;;;;
se;.0125856;.0146035;.0166383;.0177088;.018706;.;.0165217;.0142518;.013274;.;.0155338;.0233794;.;.0129874;.000069;.0006744;;;;;;;;;;;;;;;;
z;17.85876;7.98267;7.213634;5.447762;7.408977;.;12.83597;8.014788;1.901638;.;-2.270874;-2.929415;.;66.55955;-360.4926;174.2761;;;;;;;;;;;;;;;;
pvalue;2.47e-71;1.43e-15;5.45e-13;5.10e-08;1.27e-13;.;1.03e-37;1.10e-15;.0572185;.;.0231546;.003396;.;0;0;0;;;;;;;;;;;;;;;;
ll;1.180631;1.082409;1.081644;1.058173;1.094358;.;1.162363;1.080953;.9992449;.;.9341014;.884213;.;1.650031;.0044902;.1162016;;;;;;;;;;;;;;;;
ul;1.229969;1.13966;1.146874;1.127602;1.167697;.;1.227135;1.136825;1.051283;.;.9950029;.9758958;.;1.700943;.0047606;.118845;;;;;;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;307055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
