_t:model,_t:_cons,/:gamma,_t:60.AC,_t:61.AC,_t:62.AC,_t:63.AC,_t:64.AC,_t:65b.AC,_t:1926.coh,_t:1930.coh,_t:1935.coh,_t:1940b.coh,_t:1945.coh,_t:1950.coh,_t:0b.SEX,_t:1.SEX,_t:0b.imm_d,_t:1.imm_d,_t:0b.mrt,_t:1.mrt,_t:2.mrt,_t:1.p_lvl,_t:2.p_lvl,_t:3b.p_lvl,_t:4.p_lvl,_t:5.p_lvl,_t:0.pp_lvl,_t:1.pp_lvl,_t:2.pp_lvl,_t:3b.pp_lvl,_t:4.pp_lvl,_t:5.pp_lvl
b1,0.0065198,0.1150843,1.146501,1.077483,1.071859,1.046495,1.085293,1,1.240706,1.135611,1.031933,1,0.9544058,0.9153145,,,,,,,,,,,,,,,,,,
se1,0.0000902,0.0006725,0.0119445,0.0141625,0.0160007,0.0169527,0.0179484,.,0.0171635,0.0146001,0.0133645,.,0.0153768,0.0230333,,,,,,,,,,,,,,,,,,
b2,0.0046234,0.1175233,1.205047,1.110666,1.113782,1.092336,1.130433,1,1.19431,1.108537,1.024934,1,0.9640714,0.928924,1,1.675294,,,,,,,,,,,,,,,,
se2,0.000069,0.0006744,0.0125856,0.0146035,0.0166383,0.0177088,0.018706,.,0.0165217,0.0142518,0.013274,.,0.0155338,0.0233794,.,0.0129874,,,,,,,,,,,,,,,,
b3,0.0057808,0.1182003,1.163559,1.086397,1.091194,1.075804,1.118516,1,1.17941,1.105171,1.027327,1,0.9621771,0.9246396,1,1.769288,1,0.7600022,1,0.7500125,0.9561835,,,,,,,,,,,
se3,0.0000925,0.0006747,0.0122486,0.0143349,0.0163394,0.0174728,0.0185325,.,0.0163286,0.0142115,0.013306,.,0.0155033,0.0232728,.,0.0140646,.,0.0109616,.,0.0065489,0.0277537,,,,,,,,,,,
b4,0.005257,0.1186901,1.163952,1.082739,1.0926,1.07916,1.129327,1,1.145954,1.087242,1.022441,1,0.962471,0.92192,1,1.978722,1,0.7305996,1,0.7566508,1.133791,1.314221,1.067798,1,0.9241193,0.8820852,,,,,,
se4,0.0000956,0.0006749,0.0122618,0.014289,0.0163579,0.0175254,0.0187142,.,0.0159192,0.0140045,0.0132434,.,0.0155079,0.0232046,.,0.0171092,.,0.0105779,.,0.0065852,0.0337264,0.015947,0.0126302,.,0.0106591,0.0108412,,,,,,
b5,0.0045998,0.1205395,1.190298,1.10101,1.104145,1.080281,1.089272,1,1.201885,1.113391,1.026395,1,0.9552532,0.8564645,1,1.887753,1,0.7158286,1,0.8162228,1.025032,1.041865,0.9484996,1,1.021202,1.010408,1.604767,1.072123,1.029518,1,0.9657673,0.7390304
se5,0.0000933,0.0006764,0.0126126,0.0145515,0.0165617,0.0175567,0.0180637,.,0.016721,0.0143503,0.0132942,.,0.0153938,0.0215924,.,0.0164484,.,0.0103623,.,0.0072182,0.0306396,0.0134168,0.0114475,.,0.0120474,0.0128349,0.0209641,0.015436,0.0146476,.,0.0135012,0.0107262
N,307055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_fail,72235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
